"PERANCANGAN KODIFIKASI SISTEM - MIW TRAVEL"
"Sistem Manajemen Perjalanan Haji dan Umroh"

"Tabel 1.1 - Kodifikasi Status Jamaah"

No,"Nilai Kodifikasi",Keterangan
1,pending,"Jamaah telah mendaftar namun belum melakukan verifikasi dokumen dan pembayaran"
2,verified,"Jamaah telah diverifikasi dokumen dan data personalnya oleh admin"
3,paid,"Jamaah telah melakukan pembayaran dan pembayaran telah dikonfirmasi"
4,departed,"Jamaah telah berangkat melaksanakan ibadah haji/umroh sesuai jadwal"


"Tabel 1.2 - Kodifikasi Status Paket"

No,"Nilai Kodifikasi",Keterangan
1,aktif,"Paket tersedia untuk pendaftaran dan dapat dipilih oleh jamaah"
2,nonaktif,"Paket tidak tersedia untuk pendaftaran (sudah penuh/expired)"


"Tabel 1.3 - Kodifikasi Status Pembatalan"

No,"Nilai Kodifikasi",Keterangan
1,pending,"Permintaan pembatalan sedang diproses dan menunggu persetujuan"
2,approved,"Permintaan pembatalan disetujui dan proses refund dapat dilakukan"
3,rejected,"Permintaan pembatalan ditolak berdasarkan kebijakan perusahaan"


"Tabel 1.4 - Kodifikasi Status Pembayaran"

No,"Nilai Kodifikasi",Keterangan
1,pending,"Bukti pembayaran telah diupload dan menunggu verifikasi admin"
2,verified,"Pembayaran telah diverifikasi dan dikonfirmasi oleh admin"
3,rejected,"Pembayaran ditolak karena bukti tidak valid atau tidak sesuai"


"Tabel 1.5 - Kodifikasi Status Perkawinan"

No,"Nilai Kodifikasi",Keterangan
1,"Belum Kawin","Jamaah belum menikah (status lajang)"
2,Kawin,"Jamaah sudah menikah"
3,"Cerai Hidup","Jamaah bercerai dan mantan pasangan masih hidup"
4,"Cerai Mati","Jamaah bercerai karena pasangan meninggal dunia (janda/duda)"


"Tabel 1.6 - Kodifikasi Status Kelengkapan Dokumen"

No,"Nilai Kodifikasi",Keterangan
1,Complete,"Semua dokumen (100%) telah diupload dan lengkap"
2,"Almost Complete","Dokumen hampir lengkap (80-99%) tinggal beberapa dokumen"
3,"In Progress","Dokumen dalam proses pengumpulan (50-79%) sebagian telah diupload"
4,Incomplete,"Dokumen belum lengkap (<50%) masih banyak yang harus diupload"


"Tabel 1.7 - Kodifikasi Jenis Kelamin"

No,"Nilai Kodifikasi",Keterangan
1,L,Laki-laki
2,P,Perempuan


"Tabel 1.8 - Kodifikasi Jenis Perjalanan"

No,"Nilai Kodifikasi",Keterangan
1,umroh,"Perjalanan ibadah umroh"
2,haji,"Perjalanan ibadah haji"


"Generated on: 2025-08-09 04:46:52"
"MIW Travel Management System"
