No,Pengujian,"Test Case","Hasil yang diharapkan",Kesimpulan
1,"Akses Website","Pemeriksaan file index.php","File tersedia dan dapat diakses",Valid
2,"Health Check Endpoint","Pemeriksaan file health.php","File health check tersedia",Valid
3,"File Konfigurasi","Pemeriksaan file config.php","File konfigurasi tersedia",Valid
4,"Deteksi Environment","Pemeriksaan variabel environment","Environment terdeteksi dengan benar",Valid
5,"File Form Pendaftaran","Pemeriksaan file form umroh/haji","Semua file form tersedia",Valid
6,"Validasi Input Form","Testing format NIK, email, telepon","Validasi berfungsi dengan benar",Valid
7,"Kemampuan Upload File","Pemeriksaan direktori uploads","Direktori dapat diakses dan ditulis",Valid
8,"File Manajemen Paket","Pemeriksaan file admin paket","File manajemen paket tersedia",Valid
9,"Struktur Data Paket","Validasi data paket lengkap","Data paket sesuai standar",Valid
10,"File Form Pembatalan","Pemeriksaan file pembatalan","File form pembatalan tersedia",Valid
11,"Proses Verifikasi","Pemeriksaan file verify_cancellation","File verifikasi tersedia",Valid
12,"Akses Panel Admin","Pemeriksaan file admin dashboard","Panel admin dapat diakses","Tidak Valid"
13,"Export Manifest","Pemeriksaan file export manifest","File export tersedia",Valid
14,"Manajemen Kamar","Pemeriksaan file roomlist","File manajemen kamar tersedia",Valid
15,"Handler Upload","Pemeriksaan handler upload file","Handler upload tersedia",Valid
16,"Permission File","Testing buat/hapus file test","File dapat dibuat dan dihapus",Valid
17,"Validasi Ukuran File","Simulasi file 2MB vs batas 5MB","File dalam batas diterima",Valid
18,"Sanitasi Input","Testing input XSS/SQL injection","Input disanitasi dengan benar","Tidak Valid"
19,"Autentikasi Admin","Pemeriksaan file admin_auth","Sistem autentikasi tersedia","Tidak Valid"
20,"Validasi Tipe File","Testing ekstensi file beragam","Hanya file diizinkan diterima",Valid
