No.,Modul,"Requirement yang diuji","Butir Uji","Jenis Pengujian"
1,Konektivitas,"Akses halaman utama website","Ketersediaan file index.php","Black Box"
2,Konektivitas,"Health check endpoint","Ketersediaan file health.php","Black Box"
3,Konektivitas,"Konfigurasi sistem","Ketersediaan file config.php","Black Box"
4,Konektivitas,"Deteksi environment Railway","Validasi environment variables","Black Box"
5,"Pendaftaran Jamaah","Form pendaftaran umroh/haji","Ketersediaan file form","Black Box"
6,"Pendaftaran Jamaah","Validasi input form","Validasi NIK, email, telepon, tanggal","Black Box"
7,"Pendaftaran Jamaah","Upload dokumen jamaah","Kemampuan upload file","Black Box"
8,"Manajemen Paket","Pengelolaan paket perjalanan","Ketersediaan file admin paket","Black Box"
9,"Manajemen Paket","Validasi data paket","Struktur data paket","Black Box"
10,Pembatalan,"Form pengajuan pembatalan","Ketersediaan file pembatalan","Black Box"
11,Pembatalan,"Verifikasi pembatalan","Proses verifikasi admin","Black Box"
12,Administratif,"Panel administrasi","Akses file admin dashboard","Black Box"
13,Administratif,"Export manifest jamaah","Fungsi export data","Black Box"
14,Administratif,"Manajemen roomlist","Pengaturan kamar jamaah","Black Box"
15,"File Upload","Handler upload file","Sistem upload dokumen","Black Box"
16,"File Upload","Permission file system","Hak akses file dan direktori","Black Box"
17,"File Upload","Validasi ukuran file","Batas maksimum ukuran file","Black Box"
18,Keamanan,"Sanitasi input","Pencegahan XSS dan SQL injection","Black Box"
19,Keamanan,"Autentikasi admin","Sistem login admin","Black Box"
20,Keamanan,"Validasi tipe file","Filter ekstensi file yang diizinkan","Black Box"
